vibration,current_voltage,temperature,pressure,fuel_usage,emission,torque,load_today,rpm,machine_health
4.18,289.77,90.5,3.74,25.27,0.72,436.2,53,827,51.37
5.4,287.85,91.0,7.28,15.17,0.61,236.0,57,785,49.14
0.86,437.36,45.4,2.81,71.19,2.75,496.0,17,917,54.93
3.88,383.94,67.3,7.85,66.84,3.93,425.6,26,1837,38.96
9.69,377.69,70.4,6.37,72.53,1.11,59.4,48,1744,44.32
1.38,413.06,60.5,2.26,58.84,0.15,192.5,22,2613,63.95
3.07,270.73,23.2,5.42,62.25,0.96,59.2,51,2356,64.65
8.05,382.44,60.5,4.17,7.96,4.23,152.1,16,2892,41.51
3.16,322.19,45.9,1.37,53.19,0.48,481.4,18,2637,57.81
2.8,265.15,47.8,6.21,18.91,3.28,406.1,64,746,51.35
7.59,373.14,72.2,9.91,33.94,0.41,156.0,52,1191,47.34
3.91,454.75,31.0,3.26,12.61,2.96,321.1,28,837,54.74
4.69,287.03,82.8,8.89,25.38,4.07,137.4,14,2185,47.9
2.82,456.78,23.7,7.54,52.84,3.64,212.9,49,1844,48.84
3.98,400.19,20.9,2.11,10.35,2.42,231.4,3,1301,70.77
3.29,419.53,28.6,3.17,25.97,1.52,420.5,22,2410,56.59
9.67,201.85,87.8,5.68,80.09,4.03,288.8,0,2368,34.7
7.89,397.3,40.3,5.51,20.32,0.35,228.4,70,2393,48.13
1.22,330.22,40.0,5.06,76.72,1.3,123.5,1,1990,67.41
1.62,243.07,101.0,5.27,49.01,3.77,173.4,10,1486,59.55
4.93,277.44,29.3,9.47,57.38,0.29,249.9,16,2036,60.86
5.13,392.33,66.5,8.03,29.03,4.23,71.2,69,2367,38.13
5.4,369.01,31.2,9.21,76.17,0.82,320.7,26,1272,52.23
6.57,326.35,92.4,6.07,50.29,0.18,468.1,39,2624,40.63
2.2,402.62,59.9,3.47,88.19,3.31,190.2,42,2615,46.86
9.97,243.75,62.2,1.74,26.19,4.92,228.7,69,2940,34.35
3.51,392.45,112.1,4.84,39.88,1.49,280.3,86,588,39.05
7.07,293.11,21.8,5.24,7.7,4.88,411.5,12,2028,48.53
2.87,319.72,55.2,4.03,17.24,2.85,159.7,72,2080,58.01
1.56,212.75,24.2,4.15,6.02,0.21,493.6,79,2790,62.8
6.08,356.7,26.1,6.74,79.44,3.7,391.9,63,1564,40.34
2.8,386.67,41.4,7.23,53.76,0.78,131.4,75,2169,57.67
6.94,385.42,97.6,1.33,39.26,3.9,74.3,11,1169,49.93
8.38,224.2,88.1,8.06,52.79,0.15,70.2,20,1369,54.46
3.49,251.17,75.6,1.31,49.72,2.56,203.0,94,692,51.72
3.27,324.9,48.1,1.05,13.25,4.19,182.5,46,1166,60.96
2.18,417.55,87.7,9.85,23.75,2.68,448.5,37,2213,39.17
0.26,267.11,74.5,1.51,53.67,0.72,141.3,24,2479,70.52
0.22,378.52,72.2,7.23,55.04,2.73,496.2,55,1206,47.43
1.88,389.14,87.9,8.32,75.24,2.58,337.7,33,1714,43.03
3.98,447.07,29.6,8.12,32.46,3.67,402.9,92,2067,38.05
8.84,342.33,79.8,2.5,76.17,1.68,334.3,43,1243,42.66
2.07,378.25,83.9,2.05,8.29,1.55,261.8,78,1794,59.88
8.23,449.33,64.2,5.71,84.68,0.4,277.1,91,1473,37.25
1.66,237.11,53.4,1.34,58.82,0.17,264.8,87,1170,65.99
7.58,206.4,77.3,5.42,27.71,4.62,161.8,20,2002,45.81
9.55,346.12,61.3,1.99,57.92,3.88,66.9,3,790,44.5
4.65,208.34,47.3,5.9,92.43,4.96,296.4,5,2342,46.94
2.74,376.18,25.6,2.84,8.74,2.5,194.1,72,2993,57.95
6.38,388.47,118.0,8.61,38.2,3.26,352.3,64,1689,29.73
4.66,366.26,69.9,4.68,24.88,1.33,208.7,72,2034,54.19
1.17,242.32,31.0,4.31,91.88,2.39,247.8,86,1604,61.25
1.57,312.86,85.5,6.52,56.7,0.87,96.1,8,1117,65.91
3.69,310.12,38.7,2.45,42.1,1.2,484.6,66,764,55.74
3.77,282.74,45.6,8.87,91.99,3.35,436.6,32,2686,39.52
5.68,298.35,104.2,2.59,13.09,4.23,296.7,74,2785,35.9
9.94,315.47,26.6,4.68,71.38,0.66,393.6,21,1238,48.79
4.51,385.93,38.8,3.26,88.0,1.74,197.6,75,1467,55.09
7.87,371.19,63.1,6.36,78.94,4.61,182.6,33,2515,31.53
2.39,301.05,22.1,5.31,62.52,1.97,192.1,24,1069,63.99
0.62,240.92,81.6,8.63,56.16,4.8,215.3,10,2992,45.11
8.99,440.01,87.5,7.75,35.26,4.62,490.3,36,2579,18.46
6.47,225.22,32.0,1.1,54.67,2.5,227.6,10,2686,57.96
8.52,269.51,29.4,6.44,56.33,1.74,428.4,19,2840,43.56
9.9,433.94,21.6,5.2,70.49,0.6,303.7,12,1873,47.21
9.96,213.55,35.8,1.08,89.82,2.59,77.6,89,2467,45.33
3.21,293.95,30.4,1.29,60.94,3.35,237.5,56,1050,59.09
3.28,273.32,99.5,5.64,64.32,2.96,497.7,0,2987,37.98
4.67,316.22,70.7,6.3,97.67,3.89,280.6,32,1850,39.93
8.45,458.85,85.7,2.49,28.33,2.79,113.1,17,1768,46.47
5.77,414.3,78.8,6.87,52.57,0.56,420.3,11,1771,48.37
5.61,297.07,26.5,9.2,15.54,0.6,339.1,27,2971,54.23
8.93,474.24,91.9,6.89,70.25,4.56,246.4,21,2239,22.17
3.3,370.45,71.0,9.18,10.42,1.02,139.2,78,1765,55.31
6.84,416.38,76.2,4.99,75.5,2.29,180.3,68,1205,39.66
6.25,296.58,37.1,2.16,46.38,3.81,302.0,47,2454,46.75
7.58,241.57,60.8,3.89,9.73,1.55,496.3,60,1653,53.04
8.59,433.01,83.5,8.52,63.76,3.6,320.1,58,651,21.32
0.17,263.87,45.4,6.16,93.32,4.24,423.6,83,2019,47.47
9.0,248.56,23.8,9.6,83.05,3.45,302.9,47,2542,32.56
0.39,213.34,50.5,8.57,8.79,0.43,239.4,22,698,71.34
5.7,300.09,38.6,4.16,22.19,3.63,495.1,60,1629,47.32
7.11,294.62,105.3,8.47,10.66,2.71,265.7,87,568,31.16
0.44,214.26,100.6,8.13,42.89,0.13,104.6,96,1275,61.77
1.94,368.34,27.4,2.46,41.1,3.05,262.5,41,2222,62.36
1.1,308.79,113.2,4.43,57.46,3.56,94.0,77,514,43.56
0.58,440.56,62.1,5.74,18.01,4.46,165.8,9,1660,60.53
4.84,235.24,86.1,8.19,57.69,1.15,83.2,67,2879,45.26
4.61,439.88,108.2,1.32,60.44,3.12,142.8,80,2450,38.4
9.19,233.25,87.4,2.49,29.35,3.68,272.8,66,2635,34.02
8.08,230.76,91.2,6.78,41.54,4.58,85.0,77,881,35.69
6.04,440.86,69.6,3.18,15.9,2.57,174.5,26,845,52.21
9.7,396.26,66.3,3.88,79.25,2.74,241.1,64,2224,33.03
4.87,269.31,92.3,2.65,50.78,0.93,284.0,35,1227,57.49
4.55,384.66,42.8,2.33,34.75,1.49,458.7,24,2368,53.41
1.04,402.13,99.1,6.28,44.63,1.61,443.0,0,2522,48.44
1.86,450.34,69.5,8.56,23.73,0.65,272.1,59,1569,56.2
1.56,243.1,84.2,7.18,85.43,4.14,155.4,69,1221,46.3
2.4,391.81,43.0,2.26,91.66,3.97,465.8,82,1809,44.66
0.52,365.97,73.3,9.19,19.55,2.93,396.1,36,1377,52.88
7.0,326.32,33.4,2.11,68.07,0.91,104.4,54,590,57.09
8.02,454.75,30.1,7.03,47.01,4.63,119.4,14,862,39.01
0.81,221.3,67.3,6.33,57.25,0.4,228.7,39,2632,61.62
8.51,237.78,53.7,8.12,44.65,1.46,483.2,86,1182,40.45
9.16,445.6,112.6,4.64,39.45,4.47,134.2,64,2067,25.85
7.98,372.96,40.5,1.53,7.28,1.83,60.1,52,1057,58.41
4.87,478.69,80.2,6.71,46.3,2.39,384.6,44,2734,34.43
8.15,476.51,82.3,5.6,20.94,2.13,150.8,99,2170,34.54
4.74,444.23,36.6,5.72,58.73,1.43,424.9,58,1429,48.46
7.08,470.62,106.5,1.55,63.17,3.07,177.1,78,1239,35.47
6.06,202.77,42.3,8.32,72.91,1.47,445.8,69,592,44.04
1.41,350.56,92.4,1.94,94.98,1.44,253.5,73,900,51.68
2.95,270.3,90.3,9.28,50.6,2.61,65.3,48,2802,46.08
6.34,361.03,50.5,4.76,88.5,4.27,449.7,98,2159,26.39
6.33,362.23,119.0,5.68,82.49,2.99,69.1,14,2057,37.6
5.4,430.64,81.3,1.66,30.17,0.77,207.6,80,1176,52.99
1.07,296.83,117.5,3.43,10.84,4.06,116.8,31,1419,59.85
3.33,296.26,93.6,8.6,59.42,3.74,90.9,100,1052,37.53
1.48,340.97,60.8,2.32,8.72,3.08,457.2,36,1865,57.74
4.31,228.98,83.8,8.87,68.29,4.22,271.9,90,752,34.27
0.25,433.85,113.9,9.96,64.51,3.67,86.9,25,1760,42.86
5.76,235.82,108.6,1.92,41.3,1.79,465.6,10,1693,53.63
0.96,237.63,33.4,4.58,8.71,2.6,369.0,26,1024,67.58
2.11,261.5,99.8,5.25,54.76,2.51,293.9,86,2646,40.97
3.14,376.18,98.9,4.21,91.28,1.68,144.9,91,2880,35.85
5.74,239.3,45.8,3.69,99.5,3.59,221.6,88,1999,43.69
8.53,414.28,93.2,5.17,43.61,3.24,251.2,61,709,29.05
0.5,224.74,33.1,7.12,33.44,2.17,178.4,24,851,70.27
5.76,476.37,47.4,2.38,15.76,0.69,94.5,44,2163,60.95
4.24,228.59,64.2,4.46,79.3,0.62,196.4,90,1503,58.08
6.81,309.0,71.3,3.16,52.47,3.85,356.0,100,2588,32.65
7.02,358.77,64.1,8.71,55.05,3.1,73.0,20,2909,37.48
2.24,204.67,69.6,8.91,67.49,2.92,360.5,88,1712,45.35
3.17,386.83,65.9,6.96,70.2,0.61,332.4,85,1569,47.43
8.71,238.45,34.3,4.33,99.19,1.42,334.9,98,2866,34.8
3.43,206.19,77.0,9.23,79.7,3.71,310.6,65,881,38.8
6.96,211.12,75.0,6.82,48.15,4.66,417.8,78,1230,36.34
8.02,393.73,42.0,6.96,89.66,3.61,397.9,70,2212,26.25
0.62,202.21,75.2,9.9,58.01,0.35,184.8,55,2833,54.4
1.3,263.42,115.3,5.83,27.24,3.04,423.0,71,2315,43.63
1.59,250.47,20.6,3.74,17.75,0.72,342.1,13,2259,76.67
4.56,387.62,114.4,5.54,43.16,0.47,300.9,39,2029,46.79
1.23,387.56,107.3,7.58,36.1,4.83,186.6,51,2174,40.99
4.33,271.99,20.3,9.39,89.65,2.47,496.2,74,1143,42.89
8.71,207.53,80.6,9.59,19.53,4.41,314.9,49,596,33.07
9.83,414.09,31.8,1.17,11.71,4.62,451.0,100,1116,34.0
2.35,426.31,103.3,4.24,72.68,2.15,395.2,93,2552,35.08
3.46,363.06,91.4,2.65,18.22,4.95,136.3,77,2600,41.02
5.24,452.74,58.4,8.82,75.8,2.88,148.9,95,537,31.04
8.94,334.66,22.0,1.56,6.36,0.62,128.5,69,1409,64.54
2.26,306.05,118.8,6.2,88.54,2.61,496.1,91,894,30.78
2.1,282.94,69.0,1.51,44.05,0.78,105.9,61,1938,67.25
3.58,314.51,69.0,9.16,18.15,4.95,350.3,22,2817,37.14
6.99,392.08,76.2,4.35,33.15,4.3,358.4,6,1095,39.28
7.12,242.69,38.9,2.8,81.43,1.8,350.9,55,1132,52.44
9.16,422.24,98.7,6.53,76.42,4.19,99.0,40,1376,28.93
4.16,366.94,85.4,5.21,17.38,2.52,195.4,90,1560,49.85
9.72,414.72,95.0,3.21,93.0,3.8,477.8,8,775,21.84
2.65,214.6,33.8,1.56,97.49,3.21,121.4,14,2173,63.96
8.86,476.46,86.3,3.82,43.21,4.26,287.8,13,2407,28.3
2.08,355.03,92.1,4.15,58.38,2.2,416.2,14,2429,47.15
2.74,463.0,83.5,6.18,14.96,3.69,123.1,43,1202,48.39
7.05,267.87,53.6,2.61,91.05,4.15,431.2,29,1587,42.01
2.23,288.6,114.0,5.81,89.94,4.47,165.1,81,550,33.76
6.16,211.29,63.6,2.52,42.16,0.64,301.1,75,2842,51.04
1.22,344.18,104.4,4.52,37.85,4.82,191.9,67,1823,46.21
8.34,354.83,84.8,1.5,27.14,0.63,472.6,72,1275,44.27
5.23,293.96,32.8,3.5,39.12,3.43,412.9,40,868,52.29
4.59,288.8,105.6,2.34,66.74,0.39,296.4,34,745,49.97
3.72,320.31,88.8,7.94,93.59,1.15,177.7,65,1503,46.14
6.34,354.69,39.7,6.2,99.54,3.21,287.8,89,1050,35.5
3.36,356.04,70.8,2.0,27.28,0.16,121.5,33,1863,67.9
7.19,401.91,42.4,9.64,46.72,2.89,427.8,16,2458,34.8
4.43,319.02,99.3,6.1,71.17,0.23,261.0,75,2996,40.36
3.21,292.56,74.7,4.02,59.32,2.14,283.5,19,1336,59.45
5.72,311.6,71.3,6.39,42.15,1.04,150.8,39,2101,52.06
8.45,420.11,42.7,9.79,63.25,3.47,262.1,3,2173,35.99
2.17,409.41,102.5,2.4,57.18,2.6,116.3,60,1833,49.42
8.04,423.44,73.4,4.38,7.18,0.32,332.3,39,1663,50.19
0.32,424.26,113.6,2.04,51.02,3.1,141.8,98,1467,51.05
7.0,331.73,86.9,5.86,13.11,0.62,171.5,67,2638,44.66
3.44,417.3,55.7,8.21,42.7,1.46,266.8,54,2833,46.07
8.51,416.06,77.5,5.53,36.75,3.93,137.4,47,1296,37.84
0.19,395.21,35.9,2.91,76.38,2.59,397.0,15,2310,56.2
3.4,314.8,115.4,3.17,67.8,3.06,327.9,12,1213,46.42
3.04,255.77,35.6,6.38,80.18,4.09,365.5,67,2002,46.36
4.74,289.27,99.3,6.17,99.76,3.86,219.4,31,2456,34.94
8.11,330.6,88.2,6.65,49.0,2.51,414.5,71,1437,35.28
2.87,360.21,90.3,9.02,27.69,3.85,128.8,83,956,41.14
9.39,477.69,112.2,4.21,61.52,1.26,287.1,63,2202,28.68
7.41,245.69,78.5,3.91,94.98,4.05,399.1,99,1375,29.51
1.44,249.14,58.0,6.55,11.67,4.45,246.9,48,2765,52.63
7.99,316.97,64.4,4.04,49.13,2.36,435.4,85,2193,34.99
6.7,230.48,29.6,4.62,65.8,4.39,138.6,25,1742,54.65
8.72,274.69,35.6,2.32,11.04,1.8,145.0,48,2225,59.35
1.13,256.4,27.5,5.56,16.18,1.81,466.1,50,1134,66.93
9.02,305.68,99.8,1.73,95.11,1.38,86.5,20,765,44.85
2.82,209.89,66.6,6.56,69.14,4.88,70.0,42,523,46.64
1.6,353.46,80.4,8.56,66.92,3.41,151.9,38,2153,46.36
3.05,332.7,76.0,4.83,55.11,2.32,498.6,28,2654,42.77
2.47,301.93,77.8,9.21,9.33,3.39,216.4,23,675,49.71
6.45,251.77,56.7,2.65,97.24,2.67,421.0,35,1078,44.73
3.97,367.06,70.3,7.46,76.61,1.14,142.5,96,1593,46.92
6.9,397.55,90.0,2.85,57.28,3.49,71.9,62,2769,34.52
4.62,270.12,74.2,6.61,30.33,3.79,312.9,74,2754,37.69
6.55,204.27,78.4,2.89,67.13,2.64,408.3,32,2441,42.2
7.98,272.66,92.3,2.12,22.04,3.87,493.3,43,1924,39.36
7.34,405.07,104.6,5.02,33.99,4.48,94.7,33,2748,32.6
9.7,332.63,117.4,9.59,91.48,4.85,137.0,52,2935,12.25
4.78,272.74,118.5,8.81,5.15,2.04,244.1,87,2228,38.96
0.94,428.52,53.4,4.67,68.8,4.71,410.1,58,1822,44.7
3.09,361.02,45.4,3.38,72.4,4.5,489.0,76,823,38.68
7.44,272.82,40.2,6.7,76.68,1.21,307.8,7,612,50.41
4.09,385.86,21.9,9.54,54.7,1.66,441.8,19,2540,46.14
1.15,471.1,115.3,9.48,45.98,4.67,130.2,26,2786,33.26
3.07,307.68,118.1,5.48,97.89,4.72,205.8,22,2191,34.42
1.42,264.89,112.5,2.67,78.84,1.25,114.9,50,673,53.78
1.01,476.84,112.4,6.05,84.12,2.54,77.9,10,1911,48.47
7.44,415.19,33.4,4.55,66.43,2.83,289.0,53,2144,42.13
9.15,425.11,84.9,7.91,34.91,2.72,280.0,52,1398,34.09
6.35,208.92,76.0,6.61,90.29,4.26,289.3,88,2389,28.98
0.73,218.39,25.5,9.38,14.6,3.53,184.5,100,2334,57.74
0.24,218.98,45.5,3.67,26.14,2.63,75.9,45,1978,71.32
8.14,236.6,28.1,1.4,76.8,2.23,119.5,81,1910,53.78
8.86,411.91,117.6,7.37,17.94,1.37,247.2,51,1355,38.0
9.68,446.82,79.4,5.95,92.7,3.9,94.6,18,916,31.06
9.54,328.28,91.6,4.24,99.36,2.05,244.3,36,858,33.64
9.01,212.01,28.7,7.75,48.02,2.67,474.9,68,550,37.76
6.64,331.57,69.3,2.55,11.25,1.37,447.4,92,1409,49.76
1.46,267.52,88.4,8.43,61.14,0.8,286.8,52,1045,53.91
6.02,277.96,119.6,8.02,68.66,1.75,496.5,28,871,33.8
1.14,249.37,105.9,7.67,79.43,4.3,92.3,14,2662,44.86
9.23,435.6,42.9,4.34,45.81,2.78,458.2,52,2018,37.2
1.83,401.83,98.0,3.06,57.31,3.92,127.2,88,542,39.34
2.49,266.72,20.2,6.51,35.19,4.91,141.0,13,2488,58.8
7.28,377.46,43.7,5.39,25.94,3.25,142.7,26,2016,49.64
3.08,340.25,52.8,2.32,28.08,2.65,377.4,16,2898,52.67
0.83,439.18,87.5,6.19,43.11,2.76,407.7,96,1468,45.5
1.53,345.04,104.4,8.13,28.22,0.26,95.2,87,1864,55.26
1.37,228.31,70.5,2.82,22.41,4.98,451.0,29,965,55.01
0.93,350.66,105.7,2.68,34.49,0.69,97.4,75,1443,63.25
6.8,217.45,118.6,6.34,18.8,2.75,209.0,68,1431,44.66
5.37,224.46,25.9,7.56,49.9,1.04,425.1,38,1986,54.77
3.32,354.06,80.6,1.9,24.1,2.58,429.2,35,1409,56.01
2.84,391.55,46.2,3.26,58.35,4.38,268.8,43,1972,50.94
3.96,256.56,75.2,8.09,74.31,4.56,219.0,57,716,39.32
8.64,221.53,59.4,6.92,66.38,2.13,104.7,44,955,46.11
3.57,437.66,99.2,1.61,31.12,0.93,61.7,74,1407,57.64
9.68,458.06,86.8,8.52,27.11,1.95,252.1,57,1852,33.1
5.97,420.36,46.9,8.15,27.93,2.0,171.5,32,2532,48.15
3.58,205.34,36.0,7.86,24.83,2.69,192.7,0,1733,65.74
0.14,455.8,82.2,8.4,20.19,1.44,347.1,37,2226,50.2
4.24,368.66,86.7,8.01,75.32,4.66,378.2,71,1495,32.86
7.94,320.5,74.3,3.33,85.09,3.7,143.0,2,1992,44.77
3.81,420.0,111.9,7.83,14.61,1.71,403.2,13,1073,46.42
2.11,396.46,44.2,4.54,13.78,3.34,104.6,32,2677,58.51
5.36,443.24,61.9,9.29,31.24,4.7,442.7,50,2160,31.69
8.8,379.12,24.9,1.07,75.37,3.79,352.9,27,1334,47.69
3.79,209.48,73.5,7.84,76.79,4.49,71.8,29,2553,44.36
1.52,442.47,36.9,2.79,54.82,3.97,137.0,92,2630,47.1
8.75,326.99,119.4,4.62,12.28,4.79,81.8,52,1105,32.93
9.76,338.19,72.1,3.78,88.64,4.33,75.9,4,2886,30.81
8.31,259.67,45.7,2.07,94.15,3.17,285.2,41,2602,38.87
8.45,399.06,66.1,6.37,85.45,2.68,281.1,34,954,33.39
2.92,309.21,45.1,3.31,43.83,1.9,149.9,22,2772,62.58
5.25,250.51,31.2,6.27,95.4,1.76,106.6,74,2714,47.43
7.5,332.22,31.9,2.76,79.38,4.99,74.3,90,2581,35.22
8.22,346.87,117.9,3.11,5.1,3.61,151.5,33,750,39.41
7.83,244.35,113.3,5.75,48.21,1.61,321.4,35,2028,38.89
3.44,245.52,75.7,7.28,49.93,0.66,287.8,22,1485,62.57
1.16,339.54,108.1,3.89,45.32,2.3,131.5,53,680,50.58
8.05,473.07,74.2,5.32,34.85,4.86,311.5,36,2460,29.12
1.34,259.27,107.7,9.93,42.52,4.41,498.1,97,1935,33.04
6.92,232.61,27.8,6.14,93.28,3.85,495.5,17,2224,40.18
3.46,454.34,66.3,3.67,85.43,1.75,227.9,64,1825,47.83
4.86,297.39,74.1,5.49,13.38,2.76,107.6,89,2980,45.11
1.88,387.85,57.9,6.74,18.21,1.33,256.3,76,1974,56.15
5.54,405.96,74.2,7.79,80.37,3.11,53.3,1,885,45.95
0.57,304.57,28.3,9.29,34.72,0.57,68.0,78,1375,71.79
4.72,255.17,49.9,3.08,96.64,0.79,356.8,14,613,55.7
7.48,353.99,81.3,3.95,50.22,4.32,456.3,41,2655,29.19
9.88,396.3,110.3,4.77,44.35,1.6,486.1,2,636,30.91
2.58,391.01,80.7,1.5,88.45,1.46,197.8,52,1168,53.58
8.99,225.11,42.4,2.12,78.61,2.0,229.0,77,1443,51.69
7.48,273.2,110.3,9.37,73.12,1.32,428.6,15,1148,35.25
9.49,449.32,115.6,5.08,9.05,3.05,204.3,69,2671,24.87
0.83,413.81,82.9,6.15,86.04,3.72,190.8,93,2566,35.56
4.53,259.22,110.1,1.2,23.19,1.65,442.6,38,776,48.47
2.6,382.35,70.4,9.34,93.7,3.09,111.6,40,1235,45.43
3.66,219.0,109.7,8.38,64.99,1.13,162.9,74,1618,48.87
8.35,284.04,114.6,4.54,92.79,2.58,210.5,13,742,35.2
4.63,419.6,99.4,2.76,37.61,3.21,88.5,83,1893,41.88
9.48,337.81,119.7,4.81,73.83,3.76,53.1,81,827,24.33
4.8,448.93,118.1,4.9,24.81,1.1,160.2,44,1040,46.87
4.45,403.99,53.0,3.41,6.73,4.59,204.3,58,2107,46.57
5.66,287.29,66.5,1.73,14.46,4.14,117.6,98,2005,49.56
2.75,329.86,89.3,2.5,64.26,0.72,120.2,11,548,59.4
7.93,365.56,96.9,5.0,59.96,4.48,463.9,87,2051,19.46
7.34,415.96,87.9,8.86,81.64,2.86,363.9,32,2210,27.07
1.93,249.68,22.6,4.94,10.32,4.98,330.8,91,1497,57.55
9.8,201.22,63.8,3.37,28.98,3.38,384.5,12,1098,46.51
2.76,439.22,26.7,6.11,61.25,3.78,58.4,6,2787,54.16
1.13,340.77,114.2,7.21,85.66,4.07,233.4,35,2520,35.41
5.44,236.02,66.1,5.38,10.04,1.85,263.3,60,2740,48.57
3.54,223.96,42.8,8.21,26.01,4.21,53.9,89,2086,52.88
4.17,449.42,81.0,2.9,86.2,0.92,130.7,17,2579,48.56
0.94,376.08,25.1,6.04,26.76,0.44,412.1,77,1435,64.01
5.07,370.35,26.3,8.95,17.17,4.55,227.2,78,2308,39.63
6.01,408.86,64.8,8.15,93.84,1.18,461.0,29,608,34.1
5.16,268.92,44.5,1.86,90.97,2.76,104.8,64,1500,59.09
6.94,357.75,54.7,6.48,49.62,4.51,84.1,75,2491,37.44
9.99,226.88,82.6,8.08,23.88,4.76,444.8,56,1397,31.97
